English,Hebrew
analyze,
approach,
area,
assess,
assume,
authority,
available,
benefit,
concept,
consistent,
constitute,
context,
contract,
create,
data,
define,
derive,
distribute,
economy,
environment,
establish,
estimate,
evidence,
export,
factor,
finance,
formula,
function,
identify,
income,
indicate,
individual,
interpret,
involve,
issue,
labor,
legal,
legislate,
major,
method,
occur,
percent,
period,
policy,
principle,
proceed,
process,
require,
research,
respond,
role,
section,
sector,
significant,
similar,
source,
specific,
structure,
theory,
vary,
achieve,
acquire,
administrate,
affect,
appropriate,
aspect,
assist,
category,
chapter,
commission,
community,
complex,
compute,
conclude,
conduct,
consequent,
construct,
consume,
credit,
culture,
design,
distinct,
element,
equate,
evaluate,
feature,
final,
focus,
impact,
injure,
institute,
invest,
item,
journal,
maintain,
normal,
obtain,
participate,
perceive,
positive,
potential,
previous,
primary,
purchase,
range,
region,
regulate,
relevant,
resident,
resource,
restrict,
secure,
seek,
select,
site,
strategy,
survey,
text,
tradition,
transfer,
alternative,
circumstance,
comment,
compensate,
component,
consent,
considerable,
constant,
constrain,
contribute,
convene,
coordinate,
core,
corporate,
correspond,
criteria,
deduce,
demonstrate,
document,
domestic,
emphasis,
ensure,
exclude,
framework,
fund,
illustrate,
immigrate,
imply,
initial,
instance,
interact,
justify,
layer,
link,
locate,
maximum,
minor,
negate,
outcome,
partner,
philosophy,
physical,
proportion,
publish,
react,
register,
rely,
remove,
scheme,
sequence,
sex,
shift,
specify,
sufficient,
task,
technical,
technique,
technology,
valid,
volume,
access,גישה
adequate,מספק
annual,שנתי
apparent,גלוי
approximate,משוער
attitude,גישה
attribute,לייחס
civil,אזרחי
code,קוד
commit,להתחייב
communicate,לתקשר
concentrate,
confer,
contrast,ניגוד
cycle,מחזור
debate,דיון
despite,
dimension,ממד
dominate,
emerge,להופיע
error,טעות
ethnic,
goal,מטרה
grant,
hence,
hypothesis,השערה
implement,ליישם
implicate,
impose,
integrate,לשלב
internal,
investigate,לחקור
job,
label,
mechanism,מנגנון
obvious,
occupy,
option,
output,
overall,כולל
parallel,
parameter,פרמטר
phase,
predict,לחזות
principal,
prior,קודם
professional,
project,פרויקט
promote,
regime,
resolve,לפתור
retain,לשמור
series,
statistic,
status,
stress,
subsequent,עוקב
sum,
summary,
undertake,לבצע
academy,
adjust,
alter,
amend,
aware,
capacity,
challenge,
clause,
compound,
conflict,
consult,
contact,
decline,
discrete,
draft,
enable,
energy,
enforce,
entity,
equivalent,
evolve,
expand,
expose,
external,
facilitate,
fundamental,
generate,
generation,
image,
liberal,
license,
logic,
margin,
medical,
mental,
modify,
monitor,
network,
notion,
objective,
orient,
perspective,
precise,
prime,
psychology,
pursue,
ratio,
reject,
revenue,
stable,
style,
substitute,
sustain,
symbol,
target,
transit,
trend,
version,
welfare,
whereas,
abstract,מופשט
accurate,
acknowledge,
aggregate,
allocate,להקצות
assign,להקצות
attach,לצרף
author,
bond,
brief,
capable,מסוגל
cite,לצטט
cooperate,לשתף פעולה
discriminate,
display,
diverse,
domain,תחום
edit,
enhance,לשפר
estate,
exceed,
expert,מומחה
explicit,מפורש
federal,
fee,
flexible,גמיש
furthermore,
gender,
ignorant,
incentive,
incidence,
incorporate,לשלב
index,
inhibit,
initiate,
input,
instruction,
intelligent,
interval,
lecture,
migrate,
minimum,מינימום
ministry,
motive,
neutral,ניטרלי
nevertheless,
overseas,
precede,
presume,
rational,רציונלי
recover,
reveal,
scope,
subsidy,
tape,
trace,
transform,לשנות
transport,
underlie,
utilize,להשתמש
adapt,להסתגל
adult,
advocate,לתמוך
aid,
channel,
chemical,
classic,
comprehensive,מקיף
comprise,
confirm,לאשר
contrary,
convert,
couple,
decade,עשור
definite,
deny,
differentiate,
dispose,
dynamic,
eliminate,לבטל
empirical,אמפירי
equipment,
extract,
file,
finite,
foundation,יסוד
globe,
grade,
guarantee,
hierarchy,היררכיה
identical,
ideology,
infer,להסיק
innovate,לחדש
insert,
intervene,
isolate,
media,מדיה
mode,
paradigm,
phenomenon,
priority,עדיפות
prohibit,
publication,פרסום
quote,
release,
reverse,
simulate,לדמות
sole,
somewhat,
submit,להגיש
successor,
survive,
thesis,תזה
topic,
transmit,
ultimate,
unique,ייחודי
visible,
voluntary,
